
question,answer,topic
KNN (k-nearest neighbors) là gì?,"KNN, hay k-nearest neighbors, là một kỹ thuật phân loại không tham số dựa trên việc tìm k láng giềng gần nhất và sử dụng voting đa số để quyết định nhãn.",KNN
Thuật toán k-NN hoạt động ra sao?,"KNN tính khoảng cách (thường là Euclid) giữa điểm mới và toàn bộ dữ liệu huấn luyện, chọn k láng giềng gần nhất và sử dụng cơ chế voting để gán nhãn.",KNN
KNN được dùng để làm gì trong học máy?,Thuật toán k-nearest neighbors được áp dụng cho bài toán phân loại và hồi quy bằng cách dựa vào nhãn của các láng giềng gần nhất để dự đoán.,KNN
KNN khác thuật toán Naive Bayes ở điểm nào?,"KNN là phương pháp instance-based dựa vào khoảng cách, trong khi Naive Bayes là mô hình xác suất sử dụng định lý Bayes và giả định độc lập giữa các đặc trưng.",KNN
Ưu điểm và hạn chế của phương pháp k nearest neighbors là gì?,Ưu điểm của k-NN là đơn giản và không cần huấn luyện mô hình phức tạp; nhược điểm là tốn thời gian tính toán với dữ liệu lớn và nhạy cảm với curse of dimensionality.,KNN
Tham số k trong k-NN được định nghĩa như thế nào?,Tham số k trong k-NN là số lượng láng giềng gần nhất được xem xét để dự đoán nhãn cho một điểm mới.,KNN
Việc chọn số k ảnh hưởng ra sao đến k-nearest neighbors?,"Nếu k nhỏ, mô hình nhạy cảm với nhiễu; nếu k lớn, vùng lân cận rộng hơn và giảm nguy cơ quá khớp nhưng có thể bỏ qua chi tiết cục bộ.",KNN
Mục đích của voting trong phương pháp láng giềng gần nhất là gì?,"Voting trong KNN dùng để tổng hợp nhãn của k điểm láng giềng, nhờ đó xác định nhãn cuối cùng dựa trên đa số hoặc trọng số khoảng cách.",KNN
So sánh k nhỏ và k lớn trong thuật toán nearest neighbors?,K nhỏ giúp mô hình phản ứng nhanh với thay đổi nhưng dễ bị nhiễu; k lớn làm mượt dự đoán nhưng có thể mất các mẫu hiếm.,KNN
Điểm mạnh và yếu của việc chọn k phù hợp trong k-NN là gì?,Việc chọn k phù hợp giúp cân bằng giữa độ chính xác và độ mượt; lựa chọn không đúng có thể dẫn đến overfitting hoặc underfitting.,KNN
Khoảng cách Euclid trong k-nearest neighbors là gì?,"Khoảng cách Euclid trong KNN là phép đo khoảng cách thẳng giữa hai điểm trong không gian đặc trưng, thường dùng để xác định độ tương đồng.",KNN
Thuật toán láng giềng gần nhất tính khoảng cách như thế nào?,"Trong k-NN, khoảng cách được tính bằng công thức Euclidean hoặc Manhattan để so sánh độ gần của điểm mới với các mẫu huấn luyện.",KNN
Mục đích của việc dùng các metric như Euclidean và Manhattan trong KNN?,Việc sử dụng các metric như Euclidean hay Manhattan nhằm định lượng sự tương đồng giữa các điểm và giúp thuật toán chọn láng giềng gần nhất.,KNN
So sánh khoảng cách Euclidean và Manhattan khi dùng trong phương pháp nearest neighbor.,"Khoảng cách Euclid đo tuyến tính, trong khi Manhattan tính tổng chênh lệch từng chiều; tùy dữ liệu mà mỗi loại cho kết quả khác nhau.",KNN
Ưu điểm và hạn chế của metric Euclid trong tính toán khoảng cách là gì?,"Euclidean đơn giản và phù hợp khi dữ liệu được chuẩn hóa, nhưng kém hiệu quả với dữ liệu có thang đo khác nhau hoặc số chiều lớn.",KNN
KNN phân loại là gì?,KNN phân loại là phương pháp dự đoán nhãn của một điểm bằng cách nhìn vào k láng giềng gần nhất và voting đa số.,KNN
KNN hồi quy vận hành ra sao?,KNN hồi quy dự đoán giá trị liên tục bằng cách lấy trung bình giá trị của k láng giềng gần nhất thay vì voting.,KNN
