
question,answer,topic
Bạn hãy định nghĩa KNN,KNN (k-nearest neighbors) là thuật toán học máy phân loại hoặc hồi quy dựa trên việc tìm k láng giềng gần nhất theo một khoảng cách và đưa ra nhãn của điểm mới bằng đa số phiếu hoặc trung bình.,KNN
"Hãy trình bày Trong phân tích không gian của DFS, nếu hệ số phân nhánh b=6 và độ sâu cực đại m=5, ước lượng O(bm) tương ứng với b·m bằng bao nhiêu?","O(bm) cho biết bộ nhớ tỷ lệ với b·m. Với b=6, m=5 thì b·m = 30 (đơn vị tỷ lệ, bỏ hằng số).",Search
"Bạn có thể cho biết Trong phân tích không gian của DFS, nếu hệ số phân nhánh b=4 và độ sâu cực đại m=29, ước lượng O(bm) tương ứng với b·m bằng bao nhiêu?","O(bm) cho biết bộ nhớ tỷ lệ với b·m. Với b=4, m=29 thì b·m = 116 (đơn vị tỷ lệ, bỏ hằng số).",Search
Điều kiện để A* tối ưu nghĩa là gì?,Nếu h là admissible (không bao giờ đánh giá vượt chi phí thật) và dùng graph search với h consistent thì A* tìm lời giải tối ưu.,SearchInformed
"Bạn hãy cho biết Trong A*, nếu một nút có chi phí đã đi g(n)=53 và heuristic h(n)=23, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=53+23=76.,SearchInformed
Khái niệm Một rủi ro đạo đức thường gặp khi triển khai AI là gì?,"Rủi ro thiên lệch (bias), thiếu minh bạch, xâm phạm riêng tư hoặc dùng sai mục đích; cần đánh giá và giảm thiểu.",Ethics
"Bạn hãy nêu Trong A*, nếu một nút có chi phí đã đi g(n)=34 và heuristic h(n)=27, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=34+27=61.,SearchInformed
"Bạn hãy nêu Trong A*, nếu một nút có chi phí đã đi g(n)=64 và heuristic h(n)=46, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=64+46=110.,SearchInformed
Bạn hãy cho biết Giả sử cây tìm kiếm đều có hệ số phân nhánh b=7 và lời giải nông nhất ở độ sâu d=7. BFS sẽ sinh tối đa bao nhiêu nút (từ độ sâu 0 đến d)?,Số nút tối đa là 1 + 7 + 7^2 + … + 7^7 = (b^(d+1)−1)/(b−1) = 960800.,Search
"Hãy trình bày Trong phân tích không gian của DFS, nếu hệ số phân nhánh b=8 và độ sâu cực đại m=14, ước lượng O(bm) tương ứng với b·m bằng bao nhiêu?","O(bm) cho biết bộ nhớ tỷ lệ với b·m. Với b=8, m=14 thì b·m = 112 (đơn vị tỷ lệ, bỏ hằng số).",Search
"Bạn có thể cho biết Hãy viết phủ định tương đương của công thức ∀u ∃v Knows(u,v).","Phủ định: ¬∀u∃vKnows(u,v) ≡ ∃u ∀v ¬Knows(u,v).",LogicFOL
Hàm tác tử f: P* → A biểu diễn điều gì?,Biểu diễn ánh xạ từ lịch sử nhận thức (chuỗi percepts) sang hành động mà tác tử sẽ thực hiện.,Agents
"Bạn hãy cho biết Trong Iterative Deepening Search (IDS), với cây đều b=6 và độ sâu lời giải d=5, tổng số nút được sinh (tính cả các lần lặp) xấp xỉ bao nhiêu theo công thức tổng (d−i+1)·b^i?","Tổng số nút ≈ ∑_{i=0..d} (d−i+1)·b^i. Với b=6, d=5 thì giá trị là 11196.",Search
Bạn có thể cho biết Luật De Morgan áp dụng cho phủ định hội/tuyển như thế nào?,¬(A∧B) tương đương ¬A∨¬B; ¬(A∨B) tương đương ¬A∧¬B.,Logic
"Bạn hãy giải thích Trong A*, nếu một nút có chi phí đã đi g(n)=63 và heuristic h(n)=21, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=63+21=84.,SearchInformed
"Bạn có thể cho biết Trong A*, nếu một nút có chi phí đã đi g(n)=63 và heuristic h(n)=21, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=63+21=84.,SearchInformed
"Hãy trình bày Hãy viết phủ định tương đương của công thức ∀x ∃y Knows(x,y).","Phủ định: ¬∀x∃yKnows(x,y) ≡ ∃x ∀y ¬Knows(x,y).",LogicFOL
"Bạn có thể cho biết Trong A*, nếu một nút có chi phí đã đi g(n)=60 và heuristic h(n)=2, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=60+2=62.,SearchInformed
"Bạn hãy giải thích Trong Iterative Deepening Search (IDS), với cây đều b=3 và độ sâu lời giải d=5, tổng số nút được sinh (tính cả các lần lặp) xấp xỉ bao nhiêu theo công thức tổng (d−i+1)·b^i?","Tổng số nút ≈ ∑_{i=0..d} (d−i+1)·b^i. Với b=3, d=5 thì giá trị là 543.",Search
"Trong A*, nếu một nút có chi phí đã đi g(n)=10 và heuristic h(n)=8, giá trị f(n)=g(n)+h(n) bằng bao nhiêu?",f(n) = g(n) + h(n) = 10 + 8 = 18.,SearchInformed
"Bạn có thể cho biết Trong A*, nếu một nút có chi phí đã đi g(n)=39 và heuristic h(n)=21, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=39+21=60.,SearchInformed
"Hãy trình bày Trong A*, nếu một nút có chi phí đã đi g(n)=48 và heuristic h(n)=4, giá trị f(n) bằng bao nhiêu?",f(n)=g(n)+h(n)=48+4=52.,SearchInformed
