question,answer,topic
"KNN là gì?","K-Nearest Neighbors (KNN) là thuật toán học máy thuộc nhóm giám sát, phân loại dữ liệu mới dựa trên khoảng cách đến các điểm lân cận trong tập huấn luyện.",MachineLearning
"Naïve Bayes hoạt động như thế nào?","Naïve Bayes dựa trên định lý Bayes, giả định các đặc trưng độc lập có điều kiện, tính xác suất của mỗi lớp và chọn lớp có xác suất cao nhất.",MachineLearning
"Học có giám sát là gì?","Là quá trình học từ dữ liệu có nhãn sẵn, mô hình học mối quan hệ giữa đầu vào và đầu ra để dự đoán nhãn mới.",MachineLearning
"Học không giám sát là gì?","Là quá trình học từ dữ liệu không có nhãn, mô hình tìm ra cấu trúc ẩn như cụm hoặc quan hệ giữa các điểm dữ liệu.",MachineLearning
"Học tăng cường là gì?","Là dạng học trong đó tác tử học thông qua tương tác với môi trường để tối đa hóa phần thưởng tích lũy.",MachineLearning
"Overfitting là gì?","Là hiện tượng mô hình học quá sát dữ liệu huấn luyện, dẫn đến hoạt động kém trên dữ liệu mới.",MachineLearning
"Underfitting là gì?","Là khi mô hình quá đơn giản, không học được quy luật trong dữ liệu, nên kết quả huấn luyện và dự đoán đều kém.",MachineLearning
"Đặc trưng (feature) trong học máy là gì?","Là các thuộc tính đầu vào mô tả dữ liệu dùng để mô hình học ra mối quan hệ với đầu ra.",MachineLearning
"Phân loại (classification) là gì?","Là nhiệm vụ dự đoán nhãn lớp rời rạc cho dữ liệu dựa trên tập huấn luyện.",MachineLearning
"Hồi quy (regression) là gì?","Là nhiệm vụ dự đoán giá trị liên tục, ví dụ như giá nhà, nhiệt độ...",MachineLearning
"Cross-validation dùng để làm gì?","Dùng để đánh giá độ tổng quát của mô hình bằng cách chia dữ liệu thành nhiều phần để huấn luyện và kiểm thử.",MachineLearning
"Tập huấn luyện và tập kiểm thử khác nhau thế nào?","Tập huấn luyện dùng để học mô hình, tập kiểm thử dùng để đánh giá độ chính xác của mô hình trên dữ liệu chưa thấy.",MachineLearning
"Định lý Bayes nói gì?","P(H|D) = P(D|H) * P(H) / P(D), cho phép cập nhật xác suất giả thuyết H dựa trên dữ liệu quan sát D.",MachineLearning
"TF-IDF là gì?","TF-IDF là phương pháp biểu diễn văn bản dựa trên tần suất từ (TF) và tầm quan trọng của từ trong toàn bộ tập dữ liệu (IDF).",MachineLearning
"Thuật toán K-means là gì?","Là thuật toán học không giám sát để phân cụm dữ liệu bằng cách tối thiểu hóa khoảng cách trong từng cụm.",MachineLearning
"Decision Tree là gì?","Cây quyết định là mô hình phân loại/hồi quy dạng cây, mỗi nút là một điều kiện kiểm tra đặc trưng.",MachineLearning
"Random Forest là gì?","Random Forest là tập hợp nhiều cây quyết định, kết hợp kết quả để tăng độ chính xác và giảm overfitting.",MachineLearning
"SVM (Support Vector Machine) là gì?","SVM là thuật toán tìm siêu phẳng tối ưu để phân tách các lớp dữ liệu với biên lớn nhất.",MachineLearning
